Sample Id	Environment	Simplified Environment	Core vs. Water	Shallow vs. Other	Company	Nexen
573857	Core	Shallow core	Core	Other	Other	Other
573852	Core	Shallow core	Core	Other	Other	Other
573861	Core	Shallow core	Core	Other	Other	Other
573859	Core	Shallow core	Core	Other	Other	Other
573862	Core	Shallow core	Core	Other	Encana	Other
573860	Core	Shallow core	Core	Other	Encana	Other
573855	Core	Shallow core	Core	Other	Other	Other
573858	Core	Shallow core	Core	Other	Other	Other
619007	Shallow cutting	Shallow core	Core	Shallow core	QS	Other
619006	Shallow cutting	Shallow core	Core	Shallow core	QS	Other
573863	Shallow cutting	Shallow core	Core	Shallow core	ARC	Other
573864	Shallow cutting	Shallow core	Core	Shallow core	ARC	Other
573865	Shallow cutting	Shallow core	Core	Shallow core	ARC	Other
573866	Shallow cutting	Shallow core	Core	Shallow core	ARC	Other
573867	Shallow cutting	Shallow core	Core	Shallow core	ARC	Other
573868	Shallow cutting	Shallow core	Core	Shallow core	ARC	Other
573869	Shallow cutting	Shallow core	Core	Shallow core	ARC	Other
573870	Shallow cutting	Shallow core	Core	Shallow core	QS	Other
573871	Shallow cutting	Shallow core	Core	Shallow core	QS	Other
573880	Deep cutting	Deep cutting	Core	Other	Trident	Other
573882	Deep cutting	Deep cutting	Core	Other	Trident	Other
573877	Deep cutting	Deep cutting	Core	Other	Trident	Other
573878	Deep cutting	Deep cutting	Core	Other	Trident	Other
573879	Deep cutting	Deep cutting	Core	Other	Trident	Other
573886	Deep cutting	Deep cutting	Core	Other	Trident	Other
573887	Deep cutting	Deep cutting	Core	Other	Trident	Other
573874	Deep cutting	Deep cutting	Core	Other	Nexen	Nexen
573875	Deep cutting	Deep cutting	Core	Other	Nexen	Nexen
573876	Deep cutting	Deep cutting	Core	Other	Nexen	Nexen
573890	Produced water	Produced water	Produced water	Other	Nexen	Nexen
573891	Produced water	Produced water	Produced water	Other	Nexen	Nexen
573888	Produced water	Produced water	Produced water	Other	Trident	Other
573889	Produced water	Produced water	Produced water	Other	Trident	Other
573895	Produced water	Produced water	Produced water	Other	CP	Other
573898	Produced water	Produced water	Produced water	Other	CP	Other
573899	Produced water	Produced water	Produced water	Other	CP	Other
573900	Produced water	Produced water	Produced water	Other	CP	Other
573892	Produced water	Produced water	Produced water	Other	CP	Other
573901	Produced water	Produced water	Produced water	Other	CP	Other
573893	Produced water	Produced water	Produced water	Other	CP	Other
573894	Produced water	Produced water	Produced water	Other	CP	Other
573896	Produced water	Produced water	Produced water	Other	CP	Other
573897	Produced water	Produced water	Produced water	Other	CP	Other
573902	Produced water	Produced water	Produced water	Other	CP	Other
