Sample Id	Class	Order	Order short
637000314	Oxyphotobacteria	Chroococcales	Ch
2503283009	Oxyphotobacteria	Chroococcales	Ch
2507262052	Oxyphotobacteria	Chroococcales	Ch
640427149	Oxyphotobacteria	Chroococcales	Ch
646311970	Oxyphotobacteria	Chroococcales	Ch
640427148	Oxyphotobacteria	Chroococcales	Ch
644736348	Oxyphotobacteria	Chroococcales	Ch
643348535	Oxyphotobacteria	Chroococcales	Ch
2509276056	Oxyphotobacteria	Chroococcales	Ch
637000308	Oxyphotobacteria	Chroococcales	Ch
648028021	Oxyphotobacteria	Chroococcales	Ch
2508501041	Oxyphotobacteria	Chroococcales	Ch
2503754017	Oxyphotobacteria	Chroococcales	Ch
643348534	Oxyphotobacteria	Chroococcales	Ch
643348533	Oxyphotobacteria	Chroococcales	Ch
2503538028	Oxyphotobacteria	Chroococcales	Ch
2506520048	Oxyphotobacteria	Chroococcales	Ch
2503283023	Oxyphotobacteria	Chroococcales	Ch
641522654	Oxyphotobacteria	Chroococcales	Ch
2524023216	Oxyphotobacteria	Chroococcales	Ch
2513237196	Oxyphotobacteria	Chroococcales	Ch
2513237195	Oxyphotobacteria	Chroococcales	Ch
2509276030	Oxyphotobacteria	Chroococcales	Ch
2508501011	Oxyphotobacteria	Chroococcales	Ch
637000307	Oxyphotobacteria	Chroococcales	Ch
2503707009	Oxyphotobacteria	Chroococcales	Ch
641522640	Oxyphotobacteria	Chroococcales	Ch
641228474	Oxyphotobacteria	Chroococcales	Ch
2507262012	Oxyphotobacteria	Chroococcales	Ch
2507262011	Oxyphotobacteria	Chroococcales	Ch
2507262013	Oxyphotobacteria	Chroococcales	Ch
637000313	Oxyphotobacteria	Chroococcales	Ch
637000312	Oxyphotobacteria	Chroococcales	Ch
651053076	Oxyphotobacteria	Chroococcales	Ch
637000311	Oxyphotobacteria	Chroococcales	Ch
637000310	Oxyphotobacteria	Chroococcales	Ch
637000309	Oxyphotobacteria	Chroococcales	Ch
637000320	Oxyphotobacteria	Chroococcales	Ch
641522622	Oxyphotobacteria	Chroococcales	Ch
2507262054	Oxyphotobacteria	Chroococcales	Ch
637000121	Oxyphotobacteria	Gloeobacterales	Gl
ACD20	Melainabacteria	Melainabacteria	Me
MEL_A1	Melainabacteria	Melainabacteria	Me
MEL_B1	Melainabacteria	Melainabacteria	Me
MEL_B2	Melainabacteria	Melainabacteria	Me
MEL_C1	Melainabacteria	Melainabacteria	Me
MH_37	Melainabacteria	Melainabacteria	Me
UASB_169	Melainabacteria	Melainabacteria	Me
Zag_1	Melainabacteria	Melainabacteria	Me
Zag_111	Melainabacteria	Melainabacteria	Me
Zag_221	Melainabacteria	Melainabacteria	Me
EBPR_351	Melainabacteria	Melainabacteria	Me
2501533201	Oxyphotobacteria	Nostocales	No
2509601032	Oxyphotobacteria	Nostocales	No
2505679032	Oxyphotobacteria	Nostocales	No
2503982047	Oxyphotobacteria	Nostocales	No
637000199	Oxyphotobacteria	Nostocales	No
2510065008	Oxyphotobacteria	Nostocales	No
2506485002	Oxyphotobacteria	Nostocales	No
2503707008	Oxyphotobacteria	Nostocales	No
2503982036	Oxyphotobacteria	Nostocales	No
646564504	Oxyphotobacteria	Nostocales	No
642555144	Oxyphotobacteria	Nostocales	No
648028001	Oxyphotobacteria	Nostocales	No
2506520011	Oxyphotobacteria	Oscillatoriales	Os
2504643013	Oxyphotobacteria	Oscillatoriales	Os
2503538020	Oxyphotobacteria	Oscillatoriales	Os
2503754048	Oxyphotobacteria	Oscillatoriales	Os
2504643012	Oxyphotobacteria	Oscillatoriales	Os
2509276031	Oxyphotobacteria	Oscillatoriales	Os
2503982035	Oxyphotobacteria	Oscillatoriales	Os
2506520014	Oxyphotobacteria	Oscillatoriales	Os
2509276028	Oxyphotobacteria	Oscillatoriales	Os
2506381013	Oxyphotobacteria	Oscillatoriales	Os
2506381012	Oxyphotobacteria	Oscillatoriales	Os
2503242000	Oxyphotobacteria	Oscillatoriales	Os
2506381000	Oxyphotobacteria	Oscillatoriales	Os
650377906	Oxyphotobacteria	Oscillatoriales	Os
637000329	Oxyphotobacteria	Oscillatoriales	Os
2505679099	Oxyphotobacteria	Oscillatoriales	Os
2505679100	Oxyphotobacteria	Oscillatoriales	Os
2503754019	Oxyphotobacteria	Pleurocapsales	Pl
2509276061	Oxyphotobacteria	Pleurocapsales	Pl
2503538021	Oxyphotobacteria	Pleurocapsales	Pl
2505679029	Oxyphotobacteria	Pleurocapsales	Pl
637000212	Oxyphotobacteria	Prochlorales	Pr
640069325	Oxyphotobacteria	Prochlorales	Pr
640069324	Oxyphotobacteria	Prochlorales	Pr
637000211	Oxyphotobacteria	Prochlorales	Pr
637000210	Oxyphotobacteria	Prochlorales	Pr
640069323	Oxyphotobacteria	Prochlorales	Pr
640069322	Oxyphotobacteria	Prochlorales	Pr
640753041	Oxyphotobacteria	Prochlorales	Pr
641228501	Oxyphotobacteria	Prochlorales	Pr
637000214	Oxyphotobacteria	Prochlorales	Pr
637000213	Oxyphotobacteria	Prochlorales	Pr
640069321	Oxyphotobacteria	Prochlorales	Pr
